Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NIMB,02/07/2024,159.7,168.5,159.7,160,2.17%,"1,02,269.00"
NIMB,01/07/2024,151,156.6,150.1,156.6,3.37%,"88,509.00"
NIMB,30/06/2024,149.2,158.1,149.2,151.5,-0.46%,"54,241.00"
NIMB,27/06/2024,152,155,151,152.2,0.20%,"32,459.00"
NIMB,26/06/2024,153,154,151.5,151.9,-0.72%,"51,006.00"
NIMB,25/06/2024,156.7,156.9,152,153,-0.46%,"48,071.00"
NIMB,24/06/2024,154,162.2,153.7,153.7,-0.84%,"51,361.00"
NIMB,23/06/2024,154.5,156.6,153.9,155,0.00%,"48,417.00"
NIMB,20/06/2024,159.1,159.1,154.3,155,-0.64%,"31,705.00"
NIMB,19/06/2024,155.1,158,155,156,-0.51%,"38,152.00"
NIMB,18/06/2024,157,157.8,155.1,156.8,-0.44%,"52,987.00"
NIMB,16/06/2024,163,163,157,157.5,-1.56%,"55,128.00"
NIMB,13/06/2024,160,160,158,160,-0.06%,"81,455.00"
NIMB,12/06/2024,161,163,160,160.1,1.20%,"56,434.00"
NIMB,11/06/2024,159.6,159.6,156,158.2,1.09%,"44,601.00"
NIMB,10/06/2024,160.1,160.1,155.7,156.5,-0.32%,"36,333.00"
NIMB,09/06/2024,161.1,161.1,155,157,-0.63%,"37,198.00"
NIMB,06/06/2024,162.5,162.5,157.5,158,-1.68%,"38,798.00"
NIMB,05/06/2024,157.5,160.9,157.5,160.7,0.06%,"27,416.00"
NIMB,04/06/2024,160.1,162,158.2,160.6,-0.25%,"44,195.00"
NIMB,03/06/2024,164,164,160,161,-0.56%,"62,495.00"
NIMB,02/06/2024,160,165.2,160,161.9,-0.06%,"78,668.00"
NIMB,30/05/2024,168,168,161.7,162,-1.82%,"62,710.00"
NIMB,29/05/2024,173.2,176,162.2,165,-2.88%,"1,29,820.00"
NIMB,27/05/2024,167.3,170.8,167.3,169.9,0.65%,"81,484.00"
NIMB,26/05/2024,172,175,168.4,168.8,-1.29%,"1,42,533.00"
NIMB,22/05/2024,166,173.7,164.1,171,3.01%,"1,85,173.00"
NIMB,21/05/2024,166.1,168.1,164,166,0.00%,"65,457.00"
NIMB,20/05/2024,161,173.4,161,166,3.69%,"1,81,396.00"
NIMB,19/05/2024,153.9,161.9,153.9,160.1,1.97%,"94,111.00"
NIMB,16/05/2024,152.9,158.4,152.9,157,0.64%,"74,779.00"
NIMB,15/05/2024,160,160,155,156,-1.20%,"44,091.00"
NIMB,14/05/2024,159,159.8,154,157.9,0.77%,"63,685.00"
NIMB,13/05/2024,150.1,158.2,150,156.7,4.12%,"1,51,903.00"
NIMB,12/05/2024,153,153,149.2,150.5,0.33%,"38,134.00"
NIMB,09/05/2024,149.9,150.1,147.4,150,1.01%,"49,388.00"
NIMB,08/05/2024,150.5,151.2,148,148.5,-1.53%,"1,12,375.00"
NIMB,07/05/2024,152,152,150.5,150.8,-0.13%,"39,931.00"
NIMB,06/05/2024,150.1,154,150.1,151,0.00%,"81,045.00"
NIMB,05/05/2024,151,152,150.4,151,-1.18%,"56,400.00"
NIMB,02/05/2024,156.8,156.8,151,152.8,-0.65%,"49,024.00"
NIMB,30/04/2024,155,155,151.1,153.8,1.18%,"45,898.00"
NIMB,29/04/2024,155.8,155.8,151.1,152,-0.52%,"35,728.00"
NIMB,28/04/2024,155,155,150.1,152.8,0.53%,"73,319.00"
NIMB,25/04/2024,156,156,150.6,152,-0.65%,"1,19,454.00"
NIMB,24/04/2024,155,155,150,153,0.59%,"1,19,577.00"
NIMB,22/04/2024,153.5,156,151,152.1,-0.59%,"42,688.00"
NIMB,21/04/2024,152.6,155,150.1,153,0.33%,"1,30,619.00"
NIMB,18/04/2024,154.5,155,152.3,152.5,-1.61%,"54,622.00"
NIMB,16/04/2024,155.5,156.4,155,155,-0.26%,"49,623.00"
NIMB,15/04/2024,158,158,155.1,155.4,-0.38%,"56,704.00"
NIMB,14/04/2024,157,158.9,155.1,156,-0.13%,"45,427.00"
NIMB,10/04/2024,156,158,155.2,156.2,0.26%,"48,841.00"
NIMB,09/04/2024,159.6,159.6,155,155.8,-0.45%,"90,005.00"
NIMB,07/04/2024,155.1,158,155,156.5,0.00%,"62,873.00"
NIMB,04/04/2024,156.5,157.9,155,156.5,-0.32%,"51,590.00"
NIMB,03/04/2024,157.9,157.9,155.1,157,-0.57%,"59,551.00"
NIMB,02/04/2024,157.2,158.9,156.7,157.9,0.45%,"41,398.00"
NIMB,01/04/2024,157.8,160.8,157,157.2,-0.32%,"38,515.00"
NIMB,31/03/2024,158,160,157,157.7,-1.13%,"85,223.00"
NIMB,28/03/2024,160,160.5,158.5,159.5,-0.31%,"70,667.00"
NIMB,27/03/2024,163,163,159.5,160,-0.37%,"58,432.00"
NIMB,26/03/2024,160,163.2,160,160.6,-0.25%,"61,069.00"
NIMB,25/03/2024,163,163,160,161,-1.23%,"98,561.00"
NIMB,21/03/2024,166,166,162,163,-1.21%,"63,895.00"
NIMB,20/03/2024,165.1,165.9,163,165,0.00%,"36,583.00"
NIMB,19/03/2024,167,167,164.2,165,-1.14%,"37,740.00"
NIMB,18/03/2024,164.5,168,164,166.9,0.30%,"67,215.00"
NIMB,17/03/2024,170.9,170.9,164.7,166.4,-1.25%,"81,619.00"
NIMB,14/03/2024,170,171,168,168.5,-2.03%,"42,814.00"
NIMB,13/03/2024,175,175,168.9,172,-0.52%,"48,828.00"
NIMB,12/03/2024,164,173.9,164,172.9,4.85%,"1,34,520.00"
NIMB,10/03/2024,164,165,164,164.9,0.67%,"45,371.00"
NIMB,07/03/2024,167,167,163.7,163.8,-0.24%,"31,368.00"
NIMB,06/03/2024,163,165.7,162,164.2,0.12%,"50,305.00"
NIMB,05/03/2024,169,170,163.2,164,-1.80%,"56,212.00"
NIMB,04/03/2024,163.5,167,163.5,167,4.05%,"3,160.00"
NIMB,03/03/2024,165,165.7,160,160.5,-1.29%,"73,472.00"
NIMB,29/02/2024,163,165,162,162.6,-0.85%,"86,254.00"
